year,city_nhood,parcels,own_ocp,landlord,median_value,median_value_adj,pct_own_ocp,pct_landlord
1990,ALCOTT PARK,468,441,27,77450,181158.4715165512,94.23076923076923,5.769230769230769
1990,ALVERNO,52,44,8,73350,171568.4168591224,84.61538461538461,15.384615384615385
1990,ARLINGTON GARDENS,735,684,51,57400,134260.76520400308,93.06122448979592,6.938775510204081
1990,ARLINGTON HEIGHTS,1256,931,323,28800,67364.28637413395,74.12420382165605,25.716560509554142
1990,AVENUES WEST,279,94,182,21100,49353.695919938415,33.691756272401435,65.23297491039428
1990,BARAN PARK,95,80,15,38700,90520.75981524249,84.21052631578947,15.789473684210526
1990,BAY VIEW,5296,4371,921,50900,119057.02001539645,82.53398791540786,17.3904833836858
1990,BLUEMOUND HEIGHTS,1045,874,171,53500,125138.5180908391,83.63636363636363,16.363636363636363
1990,BORCHERT FIELD,1104,680,408,20600,48184.177059276364,61.59420289855072,36.95652173913043
1990,BRADLEY ESTATES,1002,849,150,53000,123968.99923017705,84.73053892215569,14.97005988023952
1990,BREWER'S HILL,351,162,186,15200,35553.37336412625,46.15384615384615,52.991452991452995
1990,BRYNWOOD,1,0,1,47200,110402.5804464973,0,100
1990,BUCHEL PARK,13,13,0,80000,187123.01770592763,100,0
1990,BURNHAM PARK,1454,1195,257,46500,108765.25404157043,82.18707015130674,17.67537826685007
1990,CALUMET FARMS,231,182,49,87100,203730.1855273287,78.78787878787878,21.21212121212121
1990,CAMBRIDGE HEIGHTS,474,355,119,75300,176129.5404157044,74.89451476793249,25.105485232067508
1990,CANNON PARK,467,437,30,66900,156481.62355658197,93.57601713062098,6.423982869379015
1990,CAPITOL HEIGHTS,1660,1478,181,48400,113209.42571208622,89.03614457831324,10.903614457831326
1990,CASTLE MANOR,742,689,53,72600,169814.13856812933,92.85714285714286,7.142857142857142
1990,CLARKE SQUARE,1009,653,353,33300,77889.95612009238,64.7175421209118,34.98513379583746
1990,CLAYTON CREST,521,493,28,91800,214723.66281755196,94.6257197696737,5.3742802303262955
1990,CLOCK TOWER ACRES,314,184,128,20800,48651.98460354118,58.59872611464968,40.76433121019109
1990,COLD SPRING PARK,277,152,123,33900,79293.37875288683,54.87364620938629,44.4043321299639
1990,COLLEGE HEIGHTS,374,362,12,62300,145722.05003849114,96.79144385026738,3.2085561497326207
1990,COLUMBUS PARK,1128,1041,87,53400,124904.61431870669,92.2872340425532,7.712765957446808
1990,CONCORDIA,165,116,47,38200,89351.24095458044,70.3030303030303,28.484848484848484
1990,COOPER PARK,1225,1132,93,59500,139172.74441878367,92.40816326530611,7.591836734693877
1990,COPERNICUS PARK,461,431,30,76100,178000.77059276367,93.49240780911063,6.507592190889371
1990,DINEEN PARK,918,779,137,46450,108648.30215550424,84.85838779956427,14.923747276688454
1990,DOWNER WOODS,645,532,111,134800,315302.28483448806,82.48062015503876,17.209302325581397
1990,DRETZKA PARK,14,11,3,76500,178936.3856812933,78.57142857142857,21.428571428571427
1990,ENDERIS PARK,969,890,79,71200,166539.48575827558,91.84726522187823,8.152734778121776
1990,ESTABROOK PARK,10,5,5,39350,92041.13433410315,50,50
1990,EUCLID PARK,432,410,22,76900,179872.00076982295,94.9074074074074,5.092592592592593
1990,FAIR PARK,422,344,78,49450,115665.41531947651,81.51658767772511,18.48341232227488
1990,FAIRFIELD,340,289,50,33750,78942.52309468822,85,14.705882352941178
1990,FAIRVIEW,1425,1313,111,62900,147125.4726712856,92.14035087719297,7.7894736842105265
1990,FERNWOOD,1092,957,135,58400,136599.80292532718,87.63736263736264,12.362637362637363
1990,FLORIST HIGHLANDS,256,200,56,77900,182211.03849114702,78.125,21.875
1990,FOREST HOME HILLS,836,567,266,34900,81632.41647421093,67.82296650717703,31.818181818181817
1990,FRANKLIN HEIGHTS,2315,1650,643,26800,62686.21093148576,71.2742980561555,27.77537796976242
1990,FREEDOM VILLAGE,14,14,0,64850,151686.5962278676,100,0
1990,GARDEN HOMES,601,490,111,34600,80930.7051578137,81.53078202995009,18.469217970049918
1990,GOLDEN GATE,266,259,7,85200,199286.01385681293,97.36842105263158,2.631578947368421
1990,GOLDEN VALLEY,1133,1061,72,57100,133559.05388760584,93.64518976169461,6.354810238305383
1990,GOLDMAN PARK,526,504,22,71400,167007.2933025404,95.81749049429658,4.182509505703422
1990,GRA-RAM,498,469,29,71350,166890.3414164742,94.17670682730925,5.8232931726907635
1990,GRACELAND,783,665,118,49000,114612.84834488068,84.92975734355045,15.070242656449553
1990,GRANTOSA,364,309,55,65300,152739.16320246342,84.89010989010988,15.10989010989011
1990,GRANVILLE STATION,249,173,76,37000,86544.39568899153,69.47791164658635,30.522088353413658
1990,GRANVILLE WOODS,3,1,2,54800,128179.26712856043,33.33333333333333,66.66666666666666
1990,GRASSLYN MANOR,1585,1324,260,49200,115080.65588914549,83.53312302839116,16.40378548895899
1990,GREEN MOOR,208,197,11,69550,162680.07351809082,94.71153846153845,5.288461538461538
1990,GROVER HEIGHTS,108,74,34,27600,64557.441108545034,68.51851851851852,31.48148148148148
1990,HALYARD PARK,103,65,38,18500,43272.197844495764,63.10679611650486,36.89320388349515
1990,HAMPTON HEIGHTS,2133,1791,339,38500,90052.95227097766,83.96624472573839,15.89310829817159
1990,HARAMBEE,2761,1399,1352,20100,47014.658198614314,50.670047084389715,48.967765302426656
1990,HARBOR VIEW,9,4,5,17200,40231.44880677444,44.44444444444444,55.55555555555556
1990,HARDER'S OAKS,149,141,8,77300,180807.61585835257,94.63087248322147,5.369127516778524
1990,HAVENWOODS,179,152,27,33700,78825.57120862202,84.91620111731844,15.083798882681565
